trigram,count
왕과 사는 남자,466
배우들의 연기가 좋았어요,133
배우들 연기가 좋았어요,116
배우들의 연기가 좋았습니다,102
시간 가는줄 모르고,102
시간 가는 모르고,87
모든 배우들의 연기가,76
여운이 많이 남는,70
배우들의 연기가 좋았고,66
유해진 배우님 연기,61
박지훈 배우의 연기가,58
배우들이 연기를 잘해서,57
남자 왕과 사는,56
사는 남자 왕과,55
나도 모르게 눈물이,54
배우들 연기가 좋았습니다,53
배우들 연기가 좋아서,51
유해진 배우의 연기가,50
유해진 박지훈 유지태,49
유해진 배우님 연기가,42
오랜만에 영화다운 영화를,41
박지훈 배우 연기,41
함께 보기 좋은,41
배우들의 연기가 좋아서,39
배우들 연기가 좋아요,39
배우들 연기도 좋았고,37
배우들 연기도 좋고,36
말할 것도 없고,35
박지훈 배우님 연기,34
유해진 박지훈 연기,34
유해진 배우 연기,33
유해진 배우 연기가,33
오랜만에 좋은 영화를,33
결말을 알고 봐도,32
역사적 사실을 바탕으로,30
유해진 배우의 연기는,30
배우들의 연기가 좋아요,29
역사에 대해 다시,29
가족과 함께 보기,29
유해진 배우와 박지훈,28
배우들 연기가 좋았고,27
재미와 감동 모두,27
유해진 배우님 연기는,27
배우들의 연기가 좋았다,27
시간가는줄 모르고 봤어요,26
여운이 길게 남는,26
박지훈 배우의 눈빛이,26
배우들 연기 좋았어요,26
배우들의 연기도 좋았고,25
여운이 많이 남네요,25
역사를 다시 한번,25
박지훈 배우의 눈빛,24
너무나 재미있게 봤습니다,24
박지훈 유해진 연기,24
재미도 있고 감동도,24
보기 좋은 영화입니다,24
배우들의 연기가 돋보이는,23
유해진 배우님의 연기가,23
믿고보는 배우 유해진,23
배우들 연기 좋았고,23
여운이 깊게 남는,23
사는 남자 봤습니다,23
가는 모르고 봤어요,22
박지훈 유해진 유지태,22
배우분들 연기가 좋았어요,22
유해진 배우의 연기에,22
배우분들 연기가 좋았습니다,22
유해진 박지훈 배우의,22
유해진 유지태 전미도,22
가족끼리 보기 좋은,21
박지훈 배우 눈빛이,21
여운이 남는 영화입니다,21
좋은 영화는 관객을,21
영화는 관객을 즐겁게,21
즐겁게 해주는 영화이다,21
관객을 즐겁게 해주는,21
연기에 박수를 보냅니다,21
여운이 남는 영화였습니다,21
여운이 많이 남아요,21
가족들과 보기 좋은,21
연기는 말할 것도,21
역사적 사실을 기반으로,21
배우들 연기가 미쳤어요,21
가족들과 함께 보기,20
배우들의 연기가 영화를,20
최고 최고 최고,20
연기를 잘해서 몰입해서,20
좋아요 좋아요 좋아요,20
있고 감동도 있고,20
대해 다시 한번,20
여운이 오래 남는,20
역시 믿고보는 유해진,20
배우들 연기 최고,20
유해진 배우의 연기,20
박지훈 배우와 유해진,20
너무너무 잼나게 봤어요,19
배우들의 연기 차력쇼,19
배우들의 연기가 좋네요,19
돈이 아깝지 않은,19
배우 연기가 좋았어요,19
시간가는줄 모르고 봤네요,18
유해진 배우님 연기에,18
유해진 배우님의 연기에,18
가는줄 모르고 봤어요,18
박지훈 유지태 전미도,18
만들어 주셔서 감사합니다,18
특히 유해진 배우님,17
연기가 좋아서 몰입해서,17
왕과 사는 남자를,17
시간가는줄 모르고 봤습니다,17
유해진 박지훈 연기가,17
유해진 배우님과 박지훈,17
어린 나이에 얼마나,17
연기를 잘해서 몰입이,17
가족과 보기 좋은,17
배우들의 연기가 아주,17
유해진의 연기 차력쇼,17
많이 남는 영화입니다,16
박지훈 유해진 배우의,16
좋은 만들어주셔서 감사합니다,16
유해진 박지훈 전미도,16
특히 박지훈 배우의,16
간만에 영화다운 영화를,16
배우분들이 연기를 잘하셔서,16
유해진과 박지훈의 연기가,16
박지훈 배우 연기가,16
배우들 연기가 좋고,16
유해진 배우님의 연기는,16
배우들 연기 좋고,16
얼굴만 봐도 눈물이,15
유해진 배우님 박지훈,15
유해진 배우 연기는,15
유해진 박지훈 배우,15
오랜만에 좋은 봤습니다,15
연기가 좋았어요 특히,15
배우들 연기 잘해요,15
배우들 연기 좋아요,15
박지훈 유해진 전미도,15
박지훈 배우님 유해진,15
가는 모르고 봤습니다,15
the king warden,15
가슴 아픈 역사,15
단종에 대해 다시,15
역사를 알고 봐도,15
배우들의 연기와 스토리가,15
배우들의 연기가 몰입감을,15
배우와 박지훈 배우의,15
여운이 남는 영화였어요,14
사는 남자 재밌게,14
연기를 잘하셔서 몰입이,14
특히 박지훈 배우님,14
유해진 유지태 박지훈,14
배우들 연기 잘하고,14
유해진 배우님의 연기,14
스토리와 배우들의 연기가,14
역사가 스포라 결말을,14
많은 생각을 하게,14
눈물이 많이 났어요,14
배우님 유해진 배우님,14
몰입감 있게 봤습니다,14
모든 배우들이 연기를,14
모든 배우님들 연기,14
박지훈 눈만 봐도,14
눈빛만 봐도 눈물이,14
가는줄 모르고 봤습니다,14
다시 한번 역사를,14
박지훈이 이렇게 연기를,13
배우들의 연기 덕분에,13
모든 배우분들의 연기가,13
많이 웃고 많이,13
배우들의 연기가 최고입니다,13
박지훈 배우님 연기가,13
배우분들 연기가 좋아서,13
봤어요 배우들 연기가,13
보기 좋은 영화였습니다,13
연기도 좋고 스토리도,13
오랜만에 여운이 남는,13
결말을 알고 있지만,13
깊은 여운이 남는,13
결말을 알고 보는데도,13
배우들의 연기가 매우,13
배우들의 연기도 좋았어요,13
배우들의 연기 스토리,13
짧게 느껴질 정도로,13
연기 연출 모두,13
연기는 말할것도 없고,13
보기 좋은 영화였어요,13
특히 배우들의 연기가,13
특히 유해진 배우의,12
연기가 아주 좋았습니다,12
유해진 박지훈 배우님,12
배우분들 연기 좋았어요,12
봤어요 배우들 연기,12
배우의 연기가 좋았어요,12
유해진 배우 박지훈,12
배우들 연기 좋았습니다,12
배우의 연기가 좋았습니다,12
배우들의 연기에 몰입해서,12
역시 유해진 배우님,12
배우들 연기 연출,12
다들 연기를 잘해서,12
박지훈 연기 최고,12
믿고 배우 유해진,12
저도 안에 있습니까,12
저도 모르게 눈물이,12
단종의 삶에 대해,12
재밌게 봤어요 배우들,12
배우들의 연기력이 돋보이는,12
유해진 연기 차력쇼,12
배우님 박지훈 배우님,12
가는줄 모르고 봤네요,11
이미 결말을 알고,11
눈만 봐도 눈물이,11
모든 배우들 연기가,11
믿고보는 유해진 배우님,11
배우들 연기도 좋았어요,11
배우들의 연기가 뛰어나서,11
배우들의 연기가 돋보인,11
배우들의 연기 좋았습니다,11
배우들 연기가 좋네요,11
배우들의 연기가 몰입도를,11
유해진 연기 최고,11
유해진 배우의 연기력이,11
배우들 연기 스토리,11
배우님들 연기 최고,11
박지훈 배우님 눈빛,11
좋아서 몰입해서 봤어요,11
배우의 눈빛 연기가,11
배우들의 연기에 박수를,11
사는 남자 봤어요,11
봤어요 배우들의 연기가,11
안아 단종 안아,11
여운이 남는 영화를,11
배우들의 연기가 좋았음,11
배우들의 연기가 좋아,11
배우와 유해진 배우의,11
연기가 인상 깊었습니다,11
역사가 지우려 했던,11
연기가 좋아서 몰입이,11
처음부터 끝까지 몰입해서,11
특히 박지훈 배우,11
영화다운 영화를 봤네요,11
가족들과 재밌게 봤습니다,11
오랜만에 재밌게 봤어요,11
좋은 영화를 봤습니다,11
너무너무 재밌게 봤습니다,11
같이 보기 좋은,11
감히 왕족을 능멸하는가,10
결말을 알고 봤지만,10
결말을 알고 있음에도,10
남자 the king,10
최고에요 최고에요 최고에요,10
함께 보기 좋아요,10
연기에 웃고 울고,10
오랜만에 감동적인 영화를,10
오랜만에 극장에서 볼만한,10
연기 스토리 모두,10
연기가 좋았고 특히,10
여운이 오래 남네요,10
역사를 다시 알게,10
안아 홍위 안아,10
역시 믿고 유해진,10
역시 믿고보는 배우,10
아쉬운 부분도 있지만,10
봤습니다 배우들 연기가,10
여운이 가시질 않네요,10
사는 남자 the,10
사는 남자 재미있게,10
잘해서 몰입해서 봤어요,10
사는 남자 좋았어요,10
배우분들의 연기가 좋았습니다,10
배우들의 연기가 최고였습니다,10
배우들 연기도 좋았습니다,10
배우들의 연기력이 좋았습니다,10
배우들 연기가 좋습니다,10
배우들 연기에 몰입해서,10
박지훈의 눈빛과 유해진의,10
박지훈 유해진 연기가,10
유해진 연기 잘해요,10
유해진님 박지훈님 연기,10
배우 연기가 좋았습니다,10
박지훈 배우님과 유해진,10
배우들 연기 덕분에,10
배우님들 연기도 좋았고,10
재밌게 관람했습니다 볼만했어요,10
재미 있게 봤습니다,10
이번 영화를 통해,10
박지훈 배우의 연기,10
믿고 유해진 배우님,10
모든 배우의 연기가,10
눈빛을 잊을 수가,10
눈물을 참을 수가,10
이제 어디로 갑니까,10
좋았고 배우들의 연기가,10
오랜만에 돈이 아깝지,9
배우분들의 연기가 좋았어요,9
배우들 연기가 좋았음,9
배우와 박지훈 배우,9
박지훈 유해진 배우,9
말이 필요 없습니다,9
